ID	ALIGNMENT	COGID	COGIDS	CONCEPT	DOCULECT	FORM	TOKENS	VALUE	MORPHEMES	NOTE	DESEGMENTED
2391	m.u/w ə.m ⁵³	93	1091	drunk	SouthernPao	mu̯əm⁵³	m w ə m ⁵³	mu̯ əm⁵³			m.w ə.m ⁵³
2677	m ə̃ɨ ɦ.³¹	93	1091	drunk	SouthernPwo	mə̃ɨ³¹̈	m ə̃ɨ ɦ ³¹	mə̃ɨ³¹ ̈			m ə̃ɨ ɦ.³¹
2973	m u ³³	93	1091	drunk	SouthernSgaw	mu³³	m u ³³	mu³³			m u ³³
3253	m u ³³	93	1091	drunk	WesternBwe	mu³³	m u ³³	mu³³			m u ³³
94	hl/l̥ o ᴬ/⁵⁵	92	1104	dry(v.)	ProtoKaren	*hloᴬ	l̥ o ⁵⁵	*hloᴬ			l̥ o ⁵⁵
922	l au ⁵³	92	1104	dry(v.)	Kayan	lau⁵³	l au ⁵³	lau⁵³			l au ⁵³
1223	l !o/u ⁵⁵	92	1104	dry(v.)	Kayaw	lo⁵⁵	l u ⁵⁵	lo⁵⁵			l u ⁵⁵
1525	l o Ø/ɦ.³¹	92	1104	dry(v.)	NorthernPao	lo³¹̈	l o ɦ ³¹	lo³¹ ̈			l o ɦ.³¹
1813	l u ³⁵	92	1104	dry(v.)	NorthernPwo	lu³⁵	l u ³⁵	lu³⁵			l u ³⁵
2099	l !ɔ/o ³³	92	1104	dry(v.)	NorthernSgaw	lɔ³³	l o ³³	lɔ³³			l o ³³
2390	l o Ø/ɦ.³¹	92	1104	dry(v.)	SouthernPao	lo³¹̈	l o ɦ ³¹	lo³¹ ̈			l o ɦ.³¹
2676	l u ⁵³	92	1104	dry(v.)	SouthernPwo	lu⁵³	l u ⁵³	lu⁵³			l u ⁵³
2972	l !ɔ/u ⁵⁵	92	1104	dry(v.)	SouthernSgaw	lɔ⁵⁵	l u ⁵⁵	lɔ⁵⁵			l u ⁵⁵
3252	l o ⁵⁵	92	1104	dry(v.)	WesternBwe	lo⁵⁵	l o ⁵⁵	lo⁵⁵			l o ⁵⁵
96	ʔ e ᴮ/¹¹	94	1116	dung, excrement	ProtoKaren	*_Ɂeᴮ	ʔ e ¹¹	* Ɂeᴮ			ʔ e ¹¹
632	ʔ i ¹¹	94	1116	dung, excrement	Kayah	Ɂi¹¹	ʔ i ¹¹	Ɂi¹¹			ʔ i ¹¹
924	ʔ ai ¹¹	94	1116	dung, excrement	Kayan	Ɂai¹¹	ʔ ai ¹¹	Ɂai¹¹			ʔ ai ¹¹
1225	ʔ i ¹¹	94	1116	dung, excrement	Kayaw	Ɂi¹¹	ʔ i ¹¹	Ɂi¹¹			ʔ i ¹¹
1527	ʔ e ⁵⁵	94	1116	dung, excrement	NorthernPao	Ɂe⁵⁵	ʔ e ⁵⁵	Ɂe⁵⁵			ʔ e ⁵⁵
1815	ʔ i ³³	94	1116	dung, excrement	NorthernPwo	Ɂi³³	ʔ i ³³	Ɂi³³			ʔ i ³³
2101	ʔ ẽ/e ³¹	94	1116	dung, excrement	NorthernSgaw	Ɂe³¹῀	ʔ e ³¹	Ɂe³¹῀			ʔ e ³¹
2392	ʔ e ³³	94	1116	dung, excrement	SouthernPao	Ɂe³³	ʔ e ³³	Ɂe³³			ʔ e ³³
2678	ʔ i ⁵⁵	94	1116	dung, excrement	SouthernPwo	Ɂi⁵⁵	ʔ i ⁵⁵	Ɂi⁵⁵			ʔ i ⁵⁵
2974	ʔ e ⁴⁵	94	1116	dung, excrement	SouthernSgaw	Ɂe⁴⁵’	ʔ e ⁴⁵	Ɂe⁴⁵’			ʔ e ⁴⁵
3254	- ɪ ³³	94	1116	dung, excrement	WesternBwe	ɪ³³	ɪ ³³	ɪ³³			ɪ ³³
97	n a ᴮ/¹¹	95	1129	ear	ProtoKaren	*naᴮ	n a ¹¹	*naᴮ	ear		n a ¹¹
633	n e ¹¹	95	1129	ear	Kayah	ne¹¹	n e ¹¹	ne¹¹	ear		n e ¹¹
925	n a ¹¹	95	1129	ear	Kayan	na¹¹	n a ¹¹	na¹¹	ear		n a ¹¹
1226	n a ¹¹	95	1129	ear	Kayaw	na¹¹	n a ¹¹	na¹¹	ear		n a ¹¹
1528	n a ⁵³	95	1129	ear	NorthernPao	na⁵³	n a ⁵³	na⁵³	ear		n a ⁵³
1816	n !ɛ/a !Ø/ɦ.¹¹	95	1129	ear	NorthernPwo	nɛ¹¹	n a ɦ ¹¹	nɛ¹¹	ear		n a ɦ.¹¹
2102	n a ɦ.¹¹	95	1129	ear	NorthernSgaw	na¹¹̈	n a ɦ ¹¹	na¹¹ ̈	ear		n a ɦ.¹¹
2393	n a ⁵⁵	95	1129	ear	SouthernPao	na⁵⁵	n a ⁵⁵	na⁵⁵	ear		n a ⁵⁵
2679	n a ³³	95	1129	ear	SouthernPwo	na³³	n a ³³	na³³	ear		n a ³³
2975	n a ³¹	95	1129	ear	SouthernSgaw	na³¹	n a ³¹	na³¹	ear		n a ³¹
3255	n ɛ ³³	95	1129	ear	WesternBwe	nɛ³³	n ɛ ³³	nɛ³³	ear		n ɛ ³³
98	j ɛ.ʔ ᴰ/⁵¹	96	1142	earthworm	ProtoKaren	*jɛɁᴰ	j ɛ ʔ ⁵¹	*jɛɁᴰ			j ɛ.ʔ ⁵¹
634	j a ³³	96	1142	earthworm	Kayah	ja³³	j a ³³	ja³³			j a ³³
926	ɟ ɛ.ʔ ²¹	96	1142	earthworm	Kayan	ɟɛɁ²¹	ɟ ɛ ʔ ²¹	ɟɛɁ²¹			ɟ ɛ.ʔ ²¹
1227	j e ³³	96	1142	earthworm	Kayaw	je³³	j e ³³	je³³			j e ³³
1529	j ɛ.ʔ ⁴⁵	96	1142	earthworm	NorthernPao	jɛɁ⁴⁵	j ɛ ʔ ⁴⁵	jɛɁ⁴⁵			j ɛ.ʔ ⁴⁵
2394	j ɛ.ʔ ⁴⁵	96	1142	earthworm	SouthernPao	jɛɁ⁴⁵	j ɛ ʔ ⁴⁵	jɛɁ⁴⁵			j ɛ.ʔ ⁴⁵
99	hɲ/ɲ̊ au ᴬ/⁵⁵	97	1150	easy	ProtoKaren	*hɲawᴬ	ɲ̊ au ⁵⁵	*hɲawᴬ			ɲ̊ au ⁵⁵
635	j u ³³	97	1149	easy	Kayah	ju³³	j u ³³	ju³³			j u ³³
927	j au ⁵³	97	1149	easy	Kayan	jau⁵³	j au ⁵³	jau⁵³			j au ⁵³
1228	j u ⁵⁵	97	1149	easy	Kayaw	ju⁵⁵	j u ⁵⁵	ju⁵⁵			j u ⁵⁵
1817	j ɔ ³⁵	97	1149	easy	NorthernPwo	jɔ³⁵	j ɔ ³⁵	jɔ³⁵			j ɔ ³⁵
2103	ɲ ɔ ³³	97	1150	easy	NorthernSgaw	ɲɔ³³	ɲ ɔ ³³	ɲɔ³³			ɲ ɔ ³³
2680	j o ⁵³	97	1149	easy	SouthernPwo	jo⁵³	j o ⁵³	jo⁵³			j o ⁵³
2976	ɲ ɔ ⁵⁵	97	1150	easy	SouthernSgaw	ɲɔ⁵⁵	ɲ ɔ ⁵⁵	ɲɔ⁵⁵			ɲ ɔ ⁵⁵
3256	j o ⁵⁵	97	1149	easy	WesternBwe	jo⁵⁵	j o ⁵⁵	jo⁵⁵			j o ⁵⁵
100	ʔ a.m ᴮ/¹¹	98	1160	eat	ProtoKaren	*Ɂamᴮ	ʔ a m ¹¹	*Ɂamᴮ			ʔ a.m ¹¹
636	ʔ !ɛ/e ¹¹	98	1160	eat	Kayah	Ɂɛ¹¹	ʔ e ¹¹	Ɂɛ¹¹			ʔ e ¹¹
928	ʔ a.ŋ ¹¹	98	1160	eat	Kayan	Ɂaŋ¹¹	ʔ a ŋ ¹¹	Ɂaŋ¹¹			ʔ a.ŋ ¹¹
1229	ʔ ɔ ¹¹	98	1160	eat	Kayaw	Ɂɔ¹¹	ʔ ɔ ¹¹	Ɂɔ¹¹			ʔ ɔ ¹¹
1530	ʔ a.m ⁵⁵	98	1160	eat	NorthernPao	Ɂam⁵⁵	ʔ a m ⁵⁵	Ɂam⁵⁵			ʔ a.m ⁵⁵
1818	ʔ !ɛ̃/ã ³³	98	1160	eat	NorthernPwo	Ɂɛ̃³³	ʔ ã ³³	Ɂɛ̃³³			ʔ ã ³³
2104	ʔ ɔ̃ ³¹	98	1160	eat	NorthernSgaw	Ɂɔ³¹῀	ʔ ɔ̃ ³¹	Ɂɔ³¹῀			ʔ ɔ̃ ³¹
2395	ʔ a.m ³³	98	1160	eat	SouthernPao	Ɂam³³	ʔ a m ³³	Ɂam³³			ʔ a.m ³³
2681	ʔ ɔ̃ ⁵⁵	98	1160	eat	SouthernPwo	Ɂɔ̃⁵⁵	ʔ ɔ̃ ⁵⁵	Ɂɔ̃⁵⁵			ʔ ɔ̃ ⁵⁵
2977	ʔ ɔ ⁴⁵	98	1160	eat	SouthernSgaw	Ɂɔ⁴⁵’	ʔ ɔ ⁴⁵	Ɂɔ⁴⁵’			ʔ ɔ ⁴⁵
3257	a ³³	98	1161	eat	WesternBwe	a³³	a ³³	a³³			a ³³
101	ˀd ei ᴮ/¹¹	99	1173	egg	ProtoKaren	*Ɂdejᴮ	ˀd ei ¹¹	*Ɂdejᴮ			ˀd ei ¹¹
637	d ə ¹¹	99	1173	egg	Kayah	də¹¹	d ə ¹¹	də¹¹			d ə ¹¹
929	!t/d ɨ ¹¹	99	1173	egg	Kayan	tɨ¹¹	d ɨ ¹¹	tɨ¹¹			d ɨ ¹¹
1230	d i ¹¹	99	1173	egg	Kayaw	di¹¹	d i ¹¹	di¹¹			d i ¹¹
1531	d i ⁵⁵	99	1173	egg	NorthernPao	di⁵⁵	d i ⁵⁵	di⁵⁵			d i ⁵⁵
1819	d ei ³³	99	1173	egg	NorthernPwo	dei³³	d ei ³³	dei³³			d ei ³³
2105	d ĩ/i ³¹	99	1173	egg	NorthernSgaw	di³¹῀	d i ³¹	di³¹῀			d i ³¹
2396	d i ³³	99	1173	egg	SouthernPao	di³³	d i ³³	di³³			d i ³³
2682	d ei ⁵⁵	99	1173	egg	SouthernPwo	dei⁵⁵	d ei ⁵⁵	dei⁵⁵			d ei ⁵⁵
2978	d i ⁴⁵	99	1173	egg	SouthernSgaw	di⁴⁵’	d i ⁴⁵	di⁴⁵’			d i ⁴⁵
3258	ɗ i ³³	99	1173	egg	WesternBwe	-_ɗi³³	ɗ i ³³	- ɗi³³			ɗ i ³³
102	s Ø/ə Ø/⁰ + g a.ŋ/ŋ ᴬ/⁵⁵	100	1187 1186	eggplant	ProtoKaren	*s-gaNᴬ	s ə ⁰ + g a ŋ ⁵⁵	*s-gaNᴬ			s ə ⁰ + g a.ŋ ⁵⁵
638	k ɛ ¹¹	100	1186	eggplant	Kayah	kɛ¹¹	k ɛ ¹¹	kɛ¹¹			k ɛ ¹¹
930	k a.ŋ ³³	100	1186	eggplant	Kayan	kaŋ³³	k a ŋ ³³	kaŋ³³	eggplant		k a.ŋ ³³
1231	k ɔ ³³	100	1186	eggplant	Kayaw	-kɔ³³	k ɔ ³³	-kɔ³³			k ɔ ³³
2106	s ə ¹¹ + k ɔ ³³	100	1187 1186	eggplant	NorthernSgaw	sə¹¹kɔ³³	s ə ¹¹ + k ɔ ³³	sə¹¹kɔ³³			s ə ¹¹ + k ɔ ³³
2979	k ɔ ³³	100	1186	eggplant	SouthernSgaw	kɔ³³	k ɔ ³³	kɔ³³			k ɔ ³³
103	g|kʰ/kʰ.r ɔ.t ᴰ/⁵¹	101	1195	eight	ProtoKaren	*khrɔtᴰ	kʰ r ɔ t ⁵¹	*khrɔtᴰ/*grɔtᴰ			kʰ.r ɔ.t ⁵¹
931	cʰ au.ʔ ⁴⁵	101	1195	eight	Kayan	chauɁ⁴⁵	cʰ au ʔ ⁴⁵	chauɁ⁴⁵			cʰ au.ʔ ⁴⁵
1232	x ɔ ¹¹	101	1195	eight	Kayaw	-xɔ¹¹	x ɔ ¹¹	-xɔ¹¹			x ɔ ¹¹
1532	s ə.t ²¹	101	1195	eight	NorthernPao	sət²¹	s ə t ²¹	sət²¹			s ə.t ²¹
1820	x o.ʔ ²¹	101	1195	eight	NorthernPwo	xoɁ²¹	x o ʔ ²¹	xoɁ²¹			x o.ʔ ²¹
2107	x ɔ.ʔ ⁴⁵	101	1195	eight	NorthernSgaw	xɔɁ⁴⁵	x ɔ ʔ ⁴⁵	xɔɁ⁴⁵			x ɔ.ʔ ⁴⁵
2397	s ɔ.t ²¹	101	1195	eight	SouthernPao	sɔt²¹	s ɔ t ²¹	sɔt²¹			s ɔ.t ²¹
2683	x u.ʔ ⁴⁵	101	1195	eight	SouthernPwo	xuɁ⁴⁵	x u ʔ ⁴⁵	xuɁ⁴⁵			x u.ʔ ⁴⁵
2980	x o.ʔ ²¹	101	1195	eight	SouthernSgaw	xoɁ²¹	x o ʔ ²¹	xoɁ²¹			x o.ʔ ²¹
105	k Ø/ə Ø/⁰ + cʰ a.ŋ ᴬ/⁵⁵	102	1209 1207	elephant	ProtoKaren	*k-chaŋᴬ	k ə ⁰ + cʰ a ŋ ⁵⁵	*k-chaŋᴬ			k ə ⁰ + cʰ a.ŋ ⁵⁵
639	cʰ ɛ ³³	102	1207	elephant	Kayah	chɛ³³	cʰ ɛ ³³	chɛ³³			cʰ ɛ ³³
932	cʰ a.ŋ ⁵³	102	1207	elephant	Kayan	chaŋ⁵³	cʰ a ŋ ⁵³	chaŋ⁵³			cʰ a.ŋ ⁵³
1233	r ɔ ¹¹ + cʰ ɔ ⁵⁵	102	1208 1207	elephant	Kayaw	rɔ¹¹chɔ⁵⁵	r ɔ ¹¹ + cʰ ɔ ⁵⁵	rɔ¹¹chɔ⁵⁵			r ɔ ¹¹ + cʰ ɔ ⁵⁵
1533	cʰ a.ŋ Ø/ɦ.³¹	102	1207	elephant	NorthernPao	chaŋ³¹̈	cʰ a ŋ ɦ ³¹	chaŋ³¹ ̈			cʰ a.ŋ ɦ.³¹
1821	k a ¹¹ + cʰ ɛ̃ ³⁵	102	1209 1207	elephant	NorthernPwo	ka¹¹chɛ̃³⁵	k a ¹¹ + cʰ ɛ̃ ³⁵	ka¹¹chɛ̃³⁵			k a ¹¹ + cʰ ɛ̃ ³⁵
2108	k ə ¹¹ + cʰ !ɔ/ɔ̃ ³³	102	1209 1207	elephant	NorthernSgaw	kə¹¹chɔ³³	k ə ¹¹ + cʰ ɔ̃ ³³	kə¹¹chɔ³³			k ə ¹¹ + cʰ ɔ̃ ³³
2398	cʰ a.ŋ Ø/ɦ.³¹	102	1207	elephant	SouthernPao	chaŋ³¹̈	cʰ a ŋ ɦ ³¹	chaŋ³¹ ̈			cʰ a.ŋ ɦ.³¹
2684	k ə ¹¹ + cʰ ɔ̃ ⁵³	102	1209 1207	elephant	SouthernPwo	kə¹¹chɔ̃⁵³	k ə ¹¹ + cʰ ɔ̃ ⁵³	kə¹¹chɔ̃⁵³			k ə ¹¹ + cʰ ɔ̃ ⁵³
2981	k ə ¹¹ + cʰ ɔ ⁵⁵	102	1209 1207	elephant	SouthernSgaw	kə¹¹chɔ⁵⁵	k ə ¹¹ + cʰ ɔ ⁵⁵	kə¹¹chɔ⁵⁵			k ə ¹¹ + cʰ ɔ ⁵⁵
3259	ʃ a ⁵⁵	102	1207	elephant	WesternBwe	_ʃa⁵⁵	ʃ a ⁵⁵	(gə) ʃa⁵⁵			ʃ a ⁵⁵
106	pʰ ɔ.ʔ/ʔ̚ ᴰ/⁵¹	103	1226	embrace, hug	ProtoKaren	*_phɔɁᴰ	pʰ ɔ ʔ̚ ⁵¹	* phɔɁᴰ			pʰ ɔ.ʔ̚ ⁵¹
640	pʰ ɛ ⁵⁵	103	1226	embrace, hug	Kayah	phɛ⁵⁵	pʰ ɛ ⁵⁵	phɛ⁵⁵			pʰ ɛ ⁵⁵
1234	pʰ o ³³	103	1226	embrace, hug	Kayaw	pho³³	pʰ o ³³	pho³³			pʰ o ³³
1534	pʰ ɔ.ʔ ²¹	103	1226	embrace, hug	NorthernPao	phɔɁ²¹	pʰ ɔ ʔ ²¹	phɔɁ²¹			pʰ ɔ.ʔ ²¹
1822	pʰ o.ʔ ⁴⁵	103	1226	embrace, hug	NorthernPwo	phoɁ⁴⁵	pʰ o ʔ ⁴⁵	phoɁ⁴⁵			pʰ o.ʔ ⁴⁵
2109	pʰ ɔ.ʔ ⁴⁵	103	1226	embrace, hug	NorthernSgaw	phɔɁ⁴⁵	pʰ ɔ ʔ ⁴⁵	phɔɁ⁴⁵			pʰ ɔ.ʔ ⁴⁵
2685	pʰ u.ʔ ²¹	103	1226	embrace, hug	SouthernPwo	phuɁ²¹	pʰ u ʔ ²¹	phuɁ²¹			pʰ u.ʔ ²¹
2982	pʰ o.ʔ ²¹	103	1226	embrace, hug	SouthernSgaw	phoɁ²¹	pʰ o ʔ ²¹	phoɁ²¹			pʰ o.ʔ ²¹
3260	pʰ ɔ ³³	103	1226	embrace, hug	WesternBwe	phɔ³³	pʰ ɔ ³³	phɔ³³			pʰ ɔ ³³
107	n Ø/ə.ʔ ᴰ/⁵¹	104	1237	enter	ProtoKaren	*nɁᴰ	n ə ʔ ⁵¹	*n( )Ɂᴰ			n ə.ʔ ⁵¹
641	n o ³³	104	1237	enter	Kayah	no³³	n o ³³	no³³			n o ³³
1235	n u ³³	104	1237	enter	Kayaw	nu³³	n u ³³	nu³³			n u ³³
1823	n aə.ʔ ²¹	104	1237	enter	NorthernPwo	naəɁ²¹	n aə ʔ ²¹	naəɁ²¹			n aə.ʔ ²¹
2110	n ɨ.ʔ ²¹	104	1237	enter	NorthernSgaw	nɨɁ²¹	n ɨ ʔ ²¹	nɨɁ²¹			n ɨ.ʔ ²¹
2399	n ə.ʔ ⁴⁵	104	1237	enter	SouthernPao	nəɁ⁴⁵	n ə ʔ ⁴⁵	nəɁ⁴⁵			n ə.ʔ ⁴⁵
2983	n əu ɦ.¹¹	104	1237	enter	SouthernSgaw	nəu¹¹̈	n əu ɦ ¹¹	nəu¹¹ ̈			n əu ɦ.¹¹
3261	n u ¹¹	104	1237	enter	WesternBwe	nu¹¹	n u ¹¹	nu¹¹			n u ¹¹
108	cʰ u.ɴ ᴬ/⁵⁵	105	1247	exert forcing to expel	ProtoKaren	*chuNᴬ	cʰ u ɴ ⁵⁵	*chuNᴬ			cʰ u.ɴ ⁵⁵
642	cʰ ɨ ³³	105	1247	exert forcing to expel	Kayah	chɨ³³	cʰ ɨ ³³	chɨ³³			cʰ ɨ ³³
933	cʰ.w a.ŋ ⁵³	105	1247	exert forcing to expel	Kayan	chwaŋ⁵³	cʰ w a ŋ ⁵³	chwaŋ⁵³			cʰ.w a.ŋ ⁵³
1236	cʰ u ⁵⁵	105	1247	exert forcing to expel	Kayaw	chu⁵⁵	cʰ u ⁵⁵	chu⁵⁵			cʰ u ⁵⁵
1535	cʰ ə.ŋ ɦ.³¹	105	1247	exert forcing to expel	NorthernPao	chən³¹̈	cʰ ə ŋ ɦ ³¹	chən³¹ ̈			cʰ ə.ŋ ɦ.³¹
2111	cʰ u ³³	105	1247	exert forcing to expel	NorthernSgaw	chu³³	cʰ u ³³	chu³³			cʰ u ³³
2400	cʰ.u/w ə.m ³¹	105	1247	exert forcing to expel	SouthernPao	chuə̯m³¹̈	cʰ w ə m ³¹	chuə̯ m³¹ ̈			cʰ.w ə.m ³¹
109	p|b/p i.ʔ/ʔ̚ ᴰ/⁵¹	106	1255	extinguish (t.v.)	ProtoKaren	*p|biɁᴰ	p i ʔ̚ ⁵¹	*p/biɁᴰ			p i.ʔ̚ ⁵¹
643	p i ³³	106	1255	extinguish (t.v.)	Kayah	pi³³	p i ³³	pi³³			p i ³³
934	p ɨ.ʔ ²¹	106	1255	extinguish (t.v.)	Kayan	pɨɁ²¹	p ɨ ʔ ²¹	pɨɁ²¹			p ɨ.ʔ ²¹
1237	p i ³³	106	1255	extinguish (t.v.)	Kayaw	pi³³	p i ³³	pi³³			p i ³³
1536	p e.ʔ ²¹	106	1255	extinguish (t.v.)	NorthernPao	peɁ²¹	p e ʔ ²¹	peɁ²¹			p e.ʔ ²¹
1824	pʰ ai.ʔ ²¹	106	1255	extinguish (t.v.)	NorthernPwo	phaiɁ²¹	pʰ ai ʔ ²¹	phaiɁ²¹			pʰ ai.ʔ ²¹
2112	pʰ i.ʔ ⁴⁵	106	1255	extinguish (t.v.)	NorthernSgaw	phiɁ⁴⁵	pʰ i ʔ ⁴⁵	phiɁ⁴⁵			pʰ i.ʔ ⁴⁵
2401	p i.ʔ ²¹	106	1255	extinguish (t.v.)	SouthernPao	piɁ²¹	p i ʔ ²¹	piɁ²¹			p i.ʔ ²¹
2686	pʰ ai.ʔ ⁴⁵	106	1255	extinguish (t.v.)	SouthernPwo	phaiɁ⁴⁵	pʰ ai ʔ ⁴⁵	phaiɁ⁴⁵			pʰ ai.ʔ ⁴⁵
2984	p ai ɦ.¹¹	106	1255	extinguish (t.v.)	SouthernSgaw	pai¹¹̈	p ai ɦ ¹¹	pai¹¹ ̈			p ai ɦ.¹¹
3262	b ɪ ¹¹	106	1255	extinguish (t.v.)	WesternBwe	bɪ¹¹	b ɪ ¹¹	bɪ¹¹			b ɪ ¹¹
110	m ɛ.ʔ/ʔ̚ ᴰ/⁵¹	107	1268	eye, face	ProtoKaren	*mɛɁᴰ	m ɛ ʔ̚ ⁵¹	*mɛɁᴰ			m ɛ.ʔ̚ ⁵¹
1537	m ɛ.ʔ ⁴⁵	107	1268	eye, face	NorthernPao	mɛɁ⁴⁵	m ɛ ʔ ⁴⁵	mɛɁ⁴⁵			m ɛ.ʔ ⁴⁵
1825	m e.ʔ ²¹	107	1268	eye, face	NorthernPwo	meɁ²¹	m e ʔ ²¹	meɁ²¹			m e.ʔ ²¹
2113	m ɛ.ʔ ²¹	107	1268	eye, face	NorthernSgaw	mɛɁ²¹	m ɛ ʔ ²¹	mɛɁ²¹			m ɛ.ʔ ²¹
2402	m ɛ.ʔ ⁴⁵	107	1268	eye, face	SouthernPao	mɛɁ⁴⁵	m ɛ ʔ ⁴⁵	mɛɁ⁴⁵			m ɛ.ʔ ⁴⁵
2687	m e.ʔ ⁴⁵	107	1268	eye, face	SouthernPwo	meɁ⁴⁵	m e ʔ ⁴⁵	meɁ⁴⁵			m e.ʔ ⁴⁵
2985	m ɛ ɦ.¹¹	107	1268	eye, face	SouthernSgaw	mɛ¹¹̈	m ɛ ɦ ¹¹	mɛ¹¹ ̈			m ɛ ɦ.¹¹
111	d ɛ.ʔ/ʔ̚ ᴰ/⁵¹	108	1277	fall down	ProtoKaren	*dɛɁᴰ	d ɛ ʔ̚ ⁵¹	*dɛɁᴰ			d ɛ.ʔ̚ ⁵¹
644	t a ³³	108	1277	fall down	Kayah	ta³³	t a ³³	ta³³			t a ³³
935	t ɛ.ʔ ²¹	108	1277	fall down	Kayan	tɛɁ²¹	t ɛ ʔ ²¹	tɛɁ²¹			t ɛ.ʔ ²¹
1238	t e ³³	108	1277	fall down	Kayaw	te³³	t e ³³	te³³			t e ³³
1538	tʰ ɛ.ʔ ⁴⁵	108	1277	fall down	NorthernPao	thɛɁ⁴⁵	tʰ ɛ ʔ ⁴⁵	thɛɁ⁴⁵			tʰ ɛ.ʔ ⁴⁵
1826	tʰ e.ʔ ²¹	108	1277	fall down	NorthernPwo	theɁ²¹	tʰ e ʔ ²¹	theɁ²¹			tʰ e.ʔ ²¹
2114	t ɛ.ʔ ²¹	108	1277	fall down	NorthernSgaw	tɛɁ²¹	t ɛ ʔ ²¹	tɛɁ²¹			t ɛ.ʔ ²¹
2403	t ɛ.ʔ ⁴⁵	108	1277	fall down	SouthernPao	tɛɁ⁴⁵	t ɛ ʔ ⁴⁵	tɛɁ⁴⁵			t ɛ.ʔ ⁴⁵
2688	tʰ e.ʔ ⁴⁵	108	1277	fall down	SouthernPwo	theɁ⁴⁵	tʰ e ʔ ⁴⁵	theɁ⁴⁵			tʰ e.ʔ ⁴⁵
2986	t ɛ Ø/ɦ.¹¹	108	1277	fall down	SouthernSgaw	tɛ¹¹̈	t ɛ ɦ ¹¹	tɛ¹¹ ̈			t ɛ ɦ.¹¹
3263	d e ¹¹	108	1277	fall down	WesternBwe	de¹¹	d e ¹¹	de¹¹			d e ¹¹
112	ˀb.l u.ŋ ᴮ/¹¹	109	1290	fat (adj)	ProtoKaren	*Ɂbluŋᴮ	ˀb l u ŋ ¹¹	*Ɂbluŋᴮ			ˀb.l u.ŋ ¹¹
645	b ɨ ¹¹	109	1290	fat (adj)	Kayah	bɨ¹¹	b ɨ ¹¹	bɨ¹¹			b ɨ ¹¹
936	b.w a.ŋ ¹¹	109	1290	fat (adj)	Kayan	bwaŋ¹¹	b w a ŋ ¹¹	bwaŋ¹¹			b.w a.ŋ ¹¹
1239	b u ¹¹	109	1290	fat (adj)	Kayaw	bu¹¹	b u ¹¹	bu¹¹			b u ¹¹
1539	p.l ə.ŋ ⁵⁵	109	1290	fat (adj)	NorthernPao	pləŋ⁵⁵	p l ə ŋ ⁵⁵	pləŋ⁵⁵			p.l ə.ŋ ⁵⁵
1827	b ɑ̃ ³³	109	1290	fat (adj)	NorthernPwo	bɑ̃³³	b ɑ̃ ³³	bɑ̃³³			b ɑ̃ ³³
2115	b ɔ̰ ³¹	109	1290	fat (adj)	NorthernSgaw	bɔ³¹῀	b ɔ̃ ³¹	bɔ³¹῀			b ɔ̃ ³¹
2404	p.w ə.ŋ ³³	109	1290	fat (adj)	SouthernPao	pwəŋ³³	p w ə ŋ ³³	pwəŋ³³			p.w ə.ŋ ³³
2689	b õ ⁵⁵	109	1290	fat (adj)	SouthernPwo	bõ⁵⁵	b õ ⁵⁵	bõ⁵⁵			b õ ⁵⁵
2987	b ɔ ⁴⁵	109	1290	fat (adj)	SouthernSgaw	bɔ⁴⁵’	b ɔ ⁴⁵	bɔ⁴⁵’			b ɔ ⁴⁵
3264	ɓ ʊ ³³	109	1290	fat (adj)	WesternBwe	ɓʊ³³	ɓ ʊ ³³	ɓʊ³³			ɓ ʊ ³³
113	cʰ u.ɴ ᴮ/¹¹	110	1301	feather, fur, body hair	ProtoKaren	*chuNᴮ	cʰ u ɴ ¹¹	*chuNᴮ			cʰ u.ɴ ¹¹
646	ɕ ɨ ¹¹	110	1301	feather, fur, body hair	Kayah	ɕɨ¹¹	ɕ ɨ ¹¹	ɕɨ¹¹			ɕ ɨ ¹¹
937	cʰ.w a.ŋ ¹¹	110	1301	feather, fur, body hair	Kayan	chwaŋ¹¹	cʰ w a ŋ ¹¹	chwaŋ¹¹			cʰ.w a.ŋ ¹¹
1240	ɕ u ¹¹	110	1301	feather, fur, body hair	Kayaw	ɕu¹¹	ɕ u ¹¹	ɕu¹¹			ɕ u ¹¹
1540	cʰ ə.n ⁵⁵	110	1301	feather, fur, body hair	NorthernPao	chən⁵⁵	cʰ ə n ⁵⁵	chən⁵⁵			cʰ ə.n ⁵⁵
1828	cʰ ɑ̃ ³³	110	1301	feather, fur, body hair	NorthernPwo	chɑ̃³³	cʰ ɑ̃ ³³	chɑ̃³³			cʰ ɑ̃ ³³
2116	cʰ ũ ³¹	110	1301	feather, fur, body hair	NorthernSgaw	chu³¹῀	cʰ ũ ³¹	chu³¹῀			cʰ ũ ³¹
2405	cʰ.u/w ə.m ³³	110	1301	feather, fur, body hair	SouthernPao	chuə̯_m³³	cʰ w ə m ³³	chuə̯ m³³			cʰ.w ə.m ³³
2690	cʰ õ ⁵⁵	110	1301	feather, fur, body hair	SouthernPwo	chõ⁵⁵	cʰ õ ⁵⁵	chõ⁵⁵			cʰ õ ⁵⁵
2988	cʰ u ⁴⁵	110	1301	feather, fur, body hair	SouthernSgaw	chu⁴⁵’	cʰ u ⁴⁵	chu⁴⁵’			cʰ u ⁴⁵
