Grapheme	Grouped	Plain	Frequency
ə_t	ə.t	ə t	2
i_p	i.p	i p	2
s_j	s.j	s j	2
ãə	ãə	ãə	2
ẽ	ẽ	ẽ	2
b_ɣ	b.ɣ	b ɣ	2
cʰ_ɣ	cʰ.ɣ	cʰ ɣ	2
ə̃ɨ̯	ə̃ɨ̯	ə̃ɨ̯	2
e̤i	e̤i	e̤i	2
ɔu	ɔu	ɔu	2
o_k̚	o.k̚	o k̚	1
u_k̚	u.k̚	u k̚	1
ə_ɴ	ə.ɴ	ə ɴ	1
ˀb_l	ˀb.l	ˀb l	1
ŋ̊	ŋ̊	ŋ̊	1
e_k̚	e.k̚	e k̚	1
g_l	g.l	g l	1
ˀl	ˀl	ˀl	1
²	²	²	1
¹	¹	¹	1
r̥_w	r̥.w	r̥ w	1
ˀm	ˀm	ˀm	1
e_ɴ	e.ɴ	e ɴ	1
e_t̚	e.t̚	e t̚	1
i_k̚	i.k̚	i k̚	1
cʰ_r	cʰ.r	cʰ r	1
ˀb_w	ˀb.w	ˀb w	1
n̥_w	n̥.w	n̥ w	1
b_j	b.j	b j	1
l_j	l.j	l j	1
o_k	o.k	o k	1
ə̤_ŋ	ə̤.ŋ	ə̤ ŋ	1
e_n	e.n	e n	1
ɨ_t	ɨ.t	ɨ t	1
ou̯	ou̯	ou̯	1
pʰ_j	pʰ.j	pʰ j	1
z	z	z	1
k_r	k.r	k r	1
y	y	y	1
əu_t	əu.t	əu t	1
e_k	e.k	e k	1
x_w	x.w	x w	1
ei_ʔ	ei.ʔ	ei ʔ	1
ɦ_⁵⁵	ɦ.⁵⁵	ɦ ⁵⁵	1
aə	aə	aə	1
ʃ_w	ʃ.w	ʃ w	1
ʀ	ʀ	ʀ	1
l̥_w	l̥.w	l̥ w	1
i_t̚	i.t̚	i t̚	1
